title,Discription,url
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">3D</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          3D refers to the use of three-dimensional graphics, modeling, and animation in various industries.
        </p>",https://github.com//topics/3d
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Ajax</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Ajax is a technique for creating interactive web applications.
        </p>",https://github.com//topics/ajax
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Algorithm</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Algorithms are self-contained sequences that carry out a variety of tasks.
        </p>",https://github.com//topics/algorithm
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Amp</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Amp is a non-blocking concurrency library for PHP.
        </p>",https://github.com//topics/amphp
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Android</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Android is an operating system built by Google designed for mobile devices.
        </p>",https://github.com//topics/android
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Angular</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Angular is an open source web application platform.
        </p>",https://github.com//topics/angular
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Ansible</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Ansible is a simple and powerful automation engine.
        </p>",https://github.com//topics/ansible
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">API</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          An API (Application Programming Interface) is a collection of protocols and subroutines for building software.
        </p>",https://github.com//topics/api
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Arduino</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Arduino is an open source platform for building electronic devices.
        </p>",https://github.com//topics/arduino
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">ASP.NET</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          ASP.NET is a web framework for building modern web apps and services.
        </p>",https://github.com//topics/aspnet
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Awesome Lists</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          An awesome list is a list of awesome things curated by the community.
        </p>",https://github.com//topics/awesome
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Amazon Web Services</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.
        </p>",https://github.com//topics/aws
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Azure</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Azure is a cloud computing service created by Microsoft.
        </p>",https://github.com//topics/azure
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Babel</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Babel is a compiler for writing next generation JavaScript, today.
        </p>",https://github.com//topics/babel
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Bash</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Bash is a shell and command language interpreter for the GNU operating system.
        </p>",https://github.com//topics/bash
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Bitcoin</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.
        </p>",https://github.com//topics/bitcoin
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Bootstrap</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Bootstrap is an HTML, CSS, and JavaScript framework.
        </p>",https://github.com//topics/bootstrap
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Bot</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          A bot is an application that runs automated tasks over the Internet.
        </p>",https://github.com//topics/bot
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">C</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          C is a general purpose programming language that first appeared in 1972.
        </p>",https://github.com//topics/c
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Chrome</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Chrome is a web browser from the tech company Google.
        </p>",https://github.com//topics/chrome
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Chrome extension</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Chrome extensions enable users to customize the Chrome browsing experience.
        </p>",https://github.com//topics/chrome-extension
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Command-line interface</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          A CLI, or command-line interface, is a console that helps users issue commands to a program.
        </p>",https://github.com//topics/cli
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Clojure</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Clojure is a dynamic, general-purpose programming language.
        </p>",https://github.com//topics/clojure
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Code quality</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Automate your code review with style, quality, security, and testâ€‘coverage checks when you need them.
        </p>",https://github.com//topics/code-quality
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Code review</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Ensure your code meets quality standards and ship with confidence.
        </p>",https://github.com//topics/code-review
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Compiler</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).
        </p>",https://github.com//topics/compiler
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Continuous integration</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production.
        </p>",https://github.com//topics/continuous-integration
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">C++</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          C++ is a general purpose and object-oriented programming language.
        </p>",https://github.com//topics/cpp
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Cryptocurrency</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          A cryptocurrency is a digital currency that uses cryptography.
        </p>",https://github.com//topics/cryptocurrency
"<p class=""f3 lh-condensed mb-0 mt-1 Link--primary"">Crystal</p>","<p class=""f5 color-fg-muted mb-0 mt-1"">
          Crystal is a self-hosted, general purpose programming language.
        </p>",https://github.com//topics/crystal
